,Unnamed: 0,Unnamed: 0.1,REGISTO,listing_url,first_review,LATITUDE,LONGITUDE,bigOwner
3497,3497,4415,84931.0,https://www.airbnb.com/rooms/29330677,2019-01-26,41.1547872,-8.6200119,True
3498,3498,1393,46221.0,https://www.airbnb.com/rooms/30848750,2019-01-27,41.1461396,-8.6056721,True
3499,3499,3102,66413.0,https://www.airbnb.com/rooms/28199053,2019-01-27,41.1424715,-8.6168924,False
3500,3500,4892,93461.0,https://www.airbnb.com/rooms/31815402,2019-01-27,41.1479621,-8.6018354,True
3501,3501,4468,85717.0,https://www.airbnb.com/rooms/31552048,2019-01-27,41.1466758,-8.603778199999999,True
3502,3502,4430,85128.0,https://www.airbnb.com/rooms/31332997,2019-01-28,41.1444792,-8.6142066,True
3503,3503,3562,73304.0,https://www.airbnb.com/rooms/30243081,2019-01-28,41.1536969,-8.6107575,True
3504,3504,4725,90431.0,https://www.airbnb.com/rooms/31301662,2019-01-28,41.15077520000001,-8.628795599999998,True
3505,3505,2022,54047.0,https://www.airbnb.com/rooms/30719373,2019-01-28,,,True
3506,3506,2364,57078.0,https://www.airbnb.com/rooms/31409567,2019-01-28,41.145536,-8.603814199999999,True
3507,3507,4722,90371.0,https://www.airbnb.com/rooms/31142437,2019-01-28,41.1509289,-8.602936,True
3508,3508,1222,43838.0,https://www.airbnb.com/rooms/31095473,2019-01-28,41.157473,-8.6009314,True
3509,3509,4008,79576.0,https://www.airbnb.com/rooms/31762753,2019-01-28,41.1542393,-8.6118743,True
3510,3510,4646,89283.0,https://www.airbnb.com/rooms/31689672,2019-01-28,41.1512976,-8.5965173,True
3511,3511,4604,87745.0,https://www.airbnb.com/rooms/29917984,2019-01-31,41.1478918,-8.6082412,False
3512,3512,4229,82628.0,https://www.airbnb.com/rooms/31761816,2019-01-31,41.1483846,-8.6137424,True
3513,3513,4683,89895.0,https://www.airbnb.com/rooms/25804419,2019-01-02,41.1489431,-8.6502669,True
3514,3514,3567,73378.0,https://www.airbnb.com/rooms/19731345,2019-02-02,41.143585,-8.6157468,False
3515,3515,2928,64149.0,https://www.airbnb.com/rooms/31999008,2019-02-02,41.1488618,-8.6018522,False
3516,3516,3470,72242.0,https://www.airbnb.com/rooms/31397513,2019-02-02,41.1537275,-8.603256,True
3517,3517,4756,90958.0,https://www.airbnb.com/rooms/31010719,2019-03-02,41.15745620000001,-8.601927,True
3518,3518,5112,98510.0,https://www.airbnb.com/rooms/31969397,2019-03-02,41.1566727,-8.6177495,True
3519,3519,4599,87727.0,https://www.airbnb.com/rooms/29844356,2019-03-02,41.1478918,-8.6082412,True
3520,3520,3770,76149.0,https://www.airbnb.com/rooms/31167162,2019-03-02,41.170491,-8.619882400000002,True
3521,3521,4735,90678.0,https://www.airbnb.com/rooms/31455435,2019-03-02,41.14426829999999,-8.6052219,True
3522,3522,4289,83459.0,https://www.airbnb.com/rooms/29536023,2019-03-02,41.1614106,-8.601960400000001,True
3523,3523,4498,86246.0,https://www.airbnb.com/rooms/29588902,2019-03-02,41.15224600000001,-8.610885000000001,False
3524,3524,3240,68275.0,https://www.airbnb.com/rooms/31672754,2019-03-02,41.1606473,-8.6177353,True
3525,3525,3795,76535.0,https://www.airbnb.com/rooms/31988747,2019-03-02,41.1534775,-8.6047492,True
3526,3526,158,18594.0,https://www.airbnb.com/rooms/30207011,2019-04-02,41.146727,-8.601140699999998,True
3527,3527,4794,91679.0,https://www.airbnb.com/rooms/31925325,2019-04-02,41.1511244,-8.6119954,True
3528,3528,1681,50332.0,https://www.airbnb.com/rooms/31673430,2019-04-02,41.1536753,-8.608564,True
3529,3529,4314,83774.0,https://www.airbnb.com/rooms/31071048,2019-04-02,41.150729,-8.6076796,False
3530,3530,2036,54211.0,https://www.airbnb.com/rooms/21152118,2019-05-02,41.1430906,-8.6062507,True
3531,3531,2552,59238.0,https://www.airbnb.com/rooms/31308918,2019-05-02,41.1577879,-8.623470900000001,False
3532,3532,4602,87743.0,https://www.airbnb.com/rooms/29917981,2019-06-02,41.146793,-8.6088791,True
3533,3533,4214,82408.0,https://www.airbnb.com/rooms/31794609,2019-07-02,41.1529439,-8.6776029,True
3534,3534,96,15783.0,https://www.airbnb.com/rooms/31796427,2019-07-02,41.1639576,-8.6185002,True
3535,3535,3852,77370.0,https://www.airbnb.com/rooms/31414077,2019-08-02,41.1494049,-8.6036051,True
3536,3536,4593,87533.0,https://www.airbnb.com/rooms/31149711,2019-08-02,,,True
