,REGISTO,listing_url,price,LATITUDE,LONGITUDE
27,12182,https://www.airbnb.com/rooms/1806117,$100.00,41.1407828,-8.6151164
183,19239,https://www.airbnb.com/rooms/1753203,$90.00,41.1453463,-8.612752
4481,85911,https://www.airbnb.com/rooms/1075476,$45.00,41.1476092,-8.600242999999999
2662,6047,https://www.airbnb.com/rooms/1858681,$55.00,41.146894700000004,-8.620465099999999
3378,7057,https://www.airbnb.com/rooms/1911146,$62.00,41.1404105,-8.614039300000002
4442,85269,https://www.airbnb.com/rooms/1949096,$55.00,41.1504835,-8.6041522
2088,5492,https://www.airbnb.com/rooms/1712267,$53.00,41.154551899999994,-8.609945800000002
1944,5336,https://www.airbnb.com/rooms/2050697,$55.00,41.142746200000005,-8.6033552
2360,5705,https://www.airbnb.com/rooms/1963785,$95.00,41.145175200000004,-8.621584
1638,49892,https://www.airbnb.com/rooms/748133,$60.00,41.1491671,-8.6119875
711,34066,https://www.airbnb.com/rooms/1642645,$80.00,41.1589169,-8.6063496
2715,61040,https://www.airbnb.com/rooms/1909350,$128.00,41.14369179999999,-8.615044699999999
1801,51550,https://www.airbnb.com/rooms/2302948,$139.00,41.1502805,-8.6069558
3314,6989,https://www.airbnb.com/rooms/735736,$69.00,41.1558303,-8.623864999999999
3033,65451,https://www.airbnb.com/rooms/2230553,$35.00,41.1567113,-8.600014999999999
168,18961,https://www.airbnb.com/rooms/2297238,$85.00,41.1480355,-8.6151325
3138,6686,https://www.airbnb.com/rooms/1332238,$15.00,41.156744,-8.6225413
685,33469,https://www.airbnb.com/rooms/2444887,$59.00,41.15057180000001,-8.6054161
189,19340,https://www.airbnb.com/rooms/2296329,$60.00,41.1470976,-8.6170259
686,33475,https://www.airbnb.com/rooms/2483361,$37.00,41.15057180000001,-8.6054161
3206,6787,https://www.airbnb.com/rooms/2440339,$53.00,41.14593729999999,-8.602497099999999
138,17262,https://www.airbnb.com/rooms/2560393,$45.00,41.142072999999996,-8.618901900000001
194,19579,https://www.airbnb.com/rooms/2440250,$40.00,41.164945200000005,-8.634540800000002
5028,9594,https://www.airbnb.com/rooms/982730,$54.00,41.1486533,-8.6040947
2618,600,https://www.airbnb.com/rooms/681307,$130.00,41.143454799999994,-8.616867899999999
1310,45176,https://www.airbnb.com/rooms/2330171,$71.00,41.14437840000001,-8.6127041
2318,5636,https://www.airbnb.com/rooms/2488617,$70.00,41.1549633,-8.604608899999999
2299,5622,https://www.airbnb.com/rooms/2492899,$100.00,41.1470782,-8.616636199999999
2909,63919,https://www.airbnb.com/rooms/2593696,$55.00,41.1457622,-8.612910000000001
3360,7032,https://www.airbnb.com/rooms/1036027,$100.00,41.161541299999996,-8.601183299999999
2082,5481,https://www.airbnb.com/rooms/2590908,$100.00,41.142408,-8.615172399999999
425,27018,https://www.airbnb.com/rooms/1923674,$89.00,41.141445700000006,-8.6076032
4296,83553,https://www.airbnb.com/rooms/2428363,$45.00,41.1436836,-8.618035800000001
2279,5595,https://www.airbnb.com/rooms/2641067,$98.00,41.1470782,-8.616636199999999
156,18339,https://www.airbnb.com/rooms/2783196,$30.00,41.158596700000004,-8.601254199999998
4522,86479,https://www.airbnb.com/rooms/2659893,$100.00,41.14511299999999,-8.611915999999999
4553,87137,https://www.airbnb.com/rooms/2599587,$34.00,,
1330,45553,https://www.airbnb.com/rooms/1263840,$40.00,41.1606083,-8.624775099999999
30,12279,https://www.airbnb.com/rooms/2747558,$48.00,41.1570089,-8.607632299999999
29,12278,https://www.airbnb.com/rooms/2828877,$35.00,41.1570089,-8.607632299999999
1515,48504,https://www.airbnb.com/rooms/2724178,$49.00,41.1491936,-8.606582300000001
3438,71550,https://www.airbnb.com/rooms/1334834,$75.00,41.1415435,-8.6182604
1510,48396,https://www.airbnb.com/rooms/2187610,$67.00,41.14227650000001,-8.615165300000001
820,361130,https://www.airbnb.com/rooms/1699704,$45.00,,
3671,75060,https://www.airbnb.com/rooms/2921506,$41.00,41.161081200000005,-8.600291499999999
31,12283,https://www.airbnb.com/rooms/2837052,$30.00,41.1570089,-8.607632299999999
1158,42945,https://www.airbnb.com/rooms/2652502,$47.00,41.15575130000001,-8.6052225
981,38716,https://www.airbnb.com/rooms/2808694,$120.00,41.1411039,-8.6175405
1370,45863,https://www.airbnb.com/rooms/2869292,$90.00,41.1433435,-8.611482400000002
2670,6056,https://www.airbnb.com/rooms/2675556,$120.00,41.141768299999995,-8.611124799999999
1584,49368,https://www.airbnb.com/rooms/3029260,$55.00,41.14676179999999,-8.5908635
327,23717,https://www.airbnb.com/rooms/2962368,$50.00,41.15088239999999,-8.6202912
2862,6330,https://www.airbnb.com/rooms/2035372,$90.00,41.151114,-8.6770535
5062,9667,https://www.airbnb.com/rooms/2766311,$69.00,41.155771200000004,-8.6238844
28,12275,https://www.airbnb.com/rooms/3068627,$50.00,41.145859,-8.597556599999999
4463,85659,https://www.airbnb.com/rooms/3139165,$31.00,41.1658963,-8.624252799999999
3328,6999,https://www.airbnb.com/rooms/1338982,$59.00,41.1432313,-8.6145272
3121,6654,https://www.airbnb.com/rooms/3141397,$46.00,41.1422602,-8.616173
1858,52599,https://www.airbnb.com/rooms/3165433,$60.00,41.1467299,-8.6173133
4284,83417,https://www.airbnb.com/rooms/3202379,$90.00,41.141748,-8.611177999999999
3005,64990,https://www.airbnb.com/rooms/2557576,$250.00,41.156762799999996,-8.622373699999999
54,12680,https://www.airbnb.com/rooms/2766251,$59.00,41.155771200000004,-8.6238844
3042,6557,https://www.airbnb.com/rooms/3218367,$40.00,41.1519775,-8.5974165
330,24056,https://www.airbnb.com/rooms/3353652,$153.00,41.1451419,-8.615401499999999
75,14569,https://www.airbnb.com/rooms/3150313,$55.00,41.1416027,-8.618329600000001
193,19507,https://www.airbnb.com/rooms/3271606,$38.00,41.15410120000001,-8.604555300000001
1511,48398,https://www.airbnb.com/rooms/826872,$62.00,41.14137720000001,-8.615672499999999
1853,5253,https://www.airbnb.com/rooms/3427461,$149.00,41.1502805,-8.6069558
137,17261,https://www.airbnb.com/rooms/3292141,$45.00,41.155945200000005,-8.616561299999999
1336,45615,https://www.airbnb.com/rooms/3303864,$58.00,41.1429413,-8.609694500000002
670,32785,https://www.airbnb.com/rooms/3059818,$56.00,41.153285499999996,-8.60723
4464,85662,https://www.airbnb.com/rooms/3528768,$31.00,41.1658963,-8.624252799999999
880,37496,https://www.airbnb.com/rooms/3457521,$39.00,,
961,38483,https://www.airbnb.com/rooms/2417969,$50.00,41.1479737,-8.619979899999999
2694,6071,https://www.airbnb.com/rooms/3419103,$75.00,41.155823600000005,-8.6212015
2449,57945,https://www.airbnb.com/rooms/3316381,$80.00,41.1517263,-8.6298515
3637,74530,https://www.airbnb.com/rooms/3476384,$63.00,41.1579438,-8.629105299999999
2292,56145,https://www.airbnb.com/rooms/3384989,$80.00,,
2293,5616,https://www.airbnb.com/rooms/3049916,$98.00,41.1470782,-8.616636199999999
2554,5925,https://www.airbnb.com/rooms/3414002,$110.00,41.1502805,-8.6069558
2463,5834,https://www.airbnb.com/rooms/3525955,$109.00,41.1435796,-8.618002699999998
2248,5545,https://www.airbnb.com/rooms/3548476,$55.00,41.148396500000004,-8.602869199999999
71,1419,https://www.airbnb.com/rooms/3379427,$150.00,41.163681700000005,-8.5994368
796,35627,https://www.airbnb.com/rooms/3555572,$54.00,41.142935200000004,-8.6101342
74,14543,https://www.airbnb.com/rooms/3150779,$150.00,41.1447689,-8.6112352
1247,44235,https://www.airbnb.com/rooms/3372179,$70.00,41.146196200000006,-8.609637800000002
3130,66584,https://www.airbnb.com/rooms/3673828,$45.00,,
2887,6361,https://www.airbnb.com/rooms/3653286,$73.00,41.1496394,-8.6121406
23,11940,https://www.airbnb.com/rooms/3215881,$67.00,41.149862899999995,-8.6153852
2348,5693,https://www.airbnb.com/rooms/3653656,$30.00,41.1472536,-8.597039599999999
1857,52570,https://www.airbnb.com/rooms/3400156,$70.00,41.1499572,-8.613181800000001
1430,46866,https://www.airbnb.com/rooms/880881,$200.00,41.1504015,-8.6086773
2525,5889,https://www.airbnb.com/rooms/3464992,$80.00,41.141245899999994,-8.6117905
2657,6042,https://www.airbnb.com/rooms/1858304,$47.00,41.1468966,-8.620447500000001
1,100252,https://www.airbnb.com/rooms/3681924,$66.00,,
3229,68026,https://www.airbnb.com/rooms/3673910,$44.00,41.15072079999999,-8.593532999999999
2535,5906,https://www.airbnb.com/rooms/3222945,$35.00,41.148481700000005,-8.6207079
3058,65778,https://www.airbnb.com/rooms/3730996,$20.00,41.1626876,-8.6089161
230,20655,https://www.airbnb.com/rooms/3547240,$86.00,41.14828120000001,-8.6575734
3369,7045,https://www.airbnb.com/rooms/3577506,$45.00,41.1474665,-8.6010849
