,listing_id,date,latitude,longitude,neighbourhood_group
81,738602,2012-10-27,41.14682751622868,-8.613628210309134,PORTO
82,400129,2012-10-30,41.15240183304672,-8.605962751806503,PORTO
83,727402,2012-11-02,41.14416810216163,-8.611326403919684,PORTO
84,696324,2012-11-17,41.14185204585567,-8.614443722231497,PORTO
85,749496,2012-11-23,41.14940799223235,-8.603357095525498,PORTO
86,764471,2012-11-24,41.144700541596926,-8.60540952629909,PORTO
87,759702,2012-12-11,41.14754511097948,-8.61741564676272,PORTO
88,710729,2012-12-30,41.1391761130148,-8.615672321543784,PORTO
89,736472,2013-01-01,41.155039825279104,-8.623051836817204,PORTO
90,758709,2013-01-02,41.146546310222696,-8.617464707811983,PORTO
91,786791,2013-01-02,41.157207647516266,-8.613156598597463,PORTO
92,819535,2013-01-06,41.14388363705685,-8.611135350760426,PORTO
